Praktijk,Straat,Nummer,Bus,INTEGO,Postcode,Plaatsnaam,Aantal artsen,Latitude,Longitude
Janssens Bert,Britselei,34,,0,2000,Antwerpen,2,,
Hanegreefs Luc,Gijzelaarsstraat,23,A,0,2000,Antwerpen,3,,
Boydens Eric,Grote Koraalberg,12,,0,2000,Antwerpen,4,,
Van Cleempoel Roland,Italiëlei,51,,0,2000,Antwerpen,1,,
Van Den Broeck Lucien,Italiëlei,55,,0,2000,Antwerpen,3,,
Ledegen Bjﾔrn,Kasteelpleinstraat,28,,0,2000,Antwerpen,1,51.2103526,4.4016111
De Bruyker Bart,Keizerstraat,78,,0,2000,Antwerpen,1,51.2212951,4.409733
Beckx Tine,Korte Klarenstraat,9,A,0,2000,Antwerpen,4,,
Appelen Lien,Korte Nieuwstraat,18,,0,2000,Antwerpen,3,,
Elviha Diana,Lange Nieuwstraat,25,,0,2000,Antwerpen,1,,
Van Den Kieboom Diane,Mutsaertstraat,13,,0,2000,Antwerpen,1,,
Hannes Patrick,Nationalestraat,144,,0,2000,Antwerpen,1,,
Sollie Myriam,Oudaan,3,11,0,2000,Antwerpen,1,,
Decouttere Ruth,Oude Leeuwenrui,34,,0,2000,Antwerpen,5,,
Mertens Alfons,Paardenmarkt,52,,0,2000,Antwerpen,1,,
De Vleeschauwer Marie-laure,Paardenmarkt,87,B1,0,2000,Antwerpen,2,51.2252048,4.4114063
Jacobs Tom,Steenbergstraat,21,,0,2000,Antwerpen,2,,
Verhagen Eveline,Van Boendalestraat,13,,0,2000,Antwerpen,1,,
Wildiers Andrﾂ,Verversrui,34,,0,2000,Antwerpen,1,51.2256435,4.4045946
Bols Henri,Volkstraat,67,,0,2000,Antwerpen,1,,
Gobin Inge,Antoon Van Dijckstraat,73,,0,2018,Antwerpen,3,,
Lenders Nathalie,Balansstraat,10,,0,2018,Antwerpen,2,,
Ehelberg Jacques,Belgiﾉlei,15,b,0,2018,Antwerpen,1,,
Deutsch Andrﾂ,Belgiﾉlei,73,,0,2018,Antwerpen,1,,
Jakubowicz Henri,Belgiﾉlei,124,,0,2018,Antwerpen,1,,
Guffens Jean,Boomgaardstraat,175,,0,2018,Antwerpen,1,51.200908,4.4277655
Jacobs Goedele,Bosduifstraat,32,,0,2018,Antwerpen,4,,
Biesmans Maarten,De Moystraat,36,,0,2018,Antwerpen,1,,
Van Eeckhout Geert,Fourmentstraat,7,,0,2018,Antwerpen,1,51.2060474,4.4061292
Binnemans Sten,Gounodstraat,4,,0,2018,Antwerpen,2,,
Verhaert Paul,Grote Hondstraat,24,,0,2018,Antwerpen,1,,
Stein Ernest,Haringrodestraat,66,,0,2018,Antwerpen,1,,
Claessens Frank,Helenalei,35,,0,2018,Antwerpen,1,,
Mermans Dirk,Isabellalei,78,,0,2018,Antwerpen,2,51.2038435,4.4176949
Straetemans Hilde,Jan Van Beersstraat,24,,0,2018,Antwerpen,1,,
Florus Wim,Korte Altaarstraat,8,,0,2018,Antwerpen,5,,
De Ceuninck Catherine,Lange Leemstraat,332,,0,2018,Antwerpen,3,,
Eyckmans Liesje,Lange Leemstraat,385,,0,2018,Antwerpen,3,,
Bulcke Nathalie,Markgravelei,51,,0,2018,Antwerpen,5,51.1999882,4.4000159
Driscart Walter,Mechelsesteenweg,77,,0,2018,Antwerpen,1,,
Rosenblum Martin,Mechelsesteenweg,217,,0,2018,Antwerpen,2,,
Van Malderen Lutgart,Milisstraat,13,,0,2018,Antwerpen,1,,
Sahbaz Hava,Montignystraat,11,,0,2018,Antwerpen,1,,
Buscher Karel,Oudekerkstraat,38,,0,2018,Antwerpen,1,51.199764,4.3966416
Bierinckx Liliane,Oudekerkstraat,49,,0,2018,Antwerpen,1,51.1994434,4.3963407
Van Uytvanghe Rudi,Paleisstraat,66,,0,2018,Antwerpen,1,51.2068951,4.3996945
De Witte Liene,Paleisstraat,104,,0,2018,Antwerpen,2,51.2060498,4.397884
Gutfreund Gerson,Quinten Matsijslei,43,,0,2018,Antwerpen,1,,
Greyson Walter,Robert Molsstraat,43,,0,2018,Antwerpen,1,,
Beyers Dominique,Rudolfstraat,17,,0,2018,Antwerpen,1,51.2054027,4.4021976
Hershko Zvi,Van den Nestlei,3,,0,2018,Antwerpen,1,,
Boehmemarc,Camiel Huysmanslaan,120,,0,2020,Antwerpen,1,,
Haniadel,De Bosschaertstraat,112,,0,2020,Antwerpen,1,,
Verdonckludovic,De Bosschaertstraat,133,,0,2020,Antwerpen,1,,
Wijkgezondheidscentrum Zuidrand,De Bosschaertstraat,289,,0,2020,Antwerpen,5,,
Broeckhoveelsa,Jan Denucestraat,239,,0,2020,Antwerpen,1,,
Koeckphilip,Jan Van Rijswijcklaan,198,,0,2020,Antwerpen,1,,
Dockxmark,Kruishofstraat,140,A,0,2020,Antwerpen,2,51.1833263,4.3935165
Theerensjan,Maurits Sabbelaan,19,,0,2020,Antwerpen,1,,
Jacobkristin,Sint Bernardsesteenweg,346,,0,2020,Antwerpen,1,,
Florensluc,VII Olympiadelaan,38,,0,2020,Antwerpen,1,,
Van Hooffmichel,VII Olympiadelaan,118,,0,2020,Antwerpen,1,,
Vanderheydengie,VII Olympiadelaan,128,,0,2020,Antwerpen,1,,
Snoeksmichel,Volhardingstraat,46,,0,2020,Antwerpen,1,51.1891163,4.3917529
Primspeter,Zandvlietstraat,60,,0,2020,Antwerpen,1,51.1860547,4.3862726
Degroote Willy,Bouvaertlaan,29,,0,2050,Antwerpen,2,,
Braekman Willy,C.Van Manderstraat,12,,0,2050,Antwerpen,1,,
Jong Erik,Emile Verhaerenlaan,13,,0,2050,Antwerpen,1,,
Adriaenssens Annemarie,Frederik Van Eedenplein,16,4,0,2050,Antwerpen,1,,
Deceulaer Frank,Gloriantlaan,26,8,0,2050,Antwerpen,2,51.2307834,4.3861012
Block Myriam,Paul Van Ostayenlaan,29,,0,2050,Antwerpen,2,,
Colaes Marc,Roemer Visscherstraat,26,,0,2050,Antwerpen,1,,
Raes Wim,Bisschopstraat,30,,0,2060,Antwerpen,1,,
Van Hoey Marc,Dambruggestraat,171,,0,2060,Antwerpen,1,51.224311,4.4216453
Bﾂghin Josefien,De Marbaixstraat,55,,0,2060,Antwerpen,2,,
De Roeck Walter,Delinstraat,20,,0,2060,Antwerpen,1,,
Castermans Sonja,Erwtenstraat,10,,0,2060,Antwerpen,2,51.2265068,4.4317263
Theerens Karl,Gasstraat,54,,0,2060,Antwerpen,1,,
Al Hatawe Hager,Hardenvoort,3,,0,2060,Antwerpen,2,,
Yamac Ayse,Korte Stuivenbergstraat,17,,0,2060,Antwerpen,1,,
Dieben Willem,Meetingstraat,15,,0,2060,Antwerpen,1,,
Sweetlove Patrick,Osystraat,41,,0,2060,Antwerpen,1,,
Schoofs Eduard,Perenstraat,12,,0,2060,Antwerpen,1,51.2220236,4.4301446
